"alt","choice","price","mincost","extras","network","sms","design","complexity"
1,1,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,0,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
2,1,100,135,"internet","other",0.17,"trendy","no"
1,1,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,0,135,100,"games","other",0.23,"trendy","no"
1,1,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,0,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
2,1,135,100,"games","other",0.23,"trendy","no"
1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
