"choice","service","household","cost"
FALSE,"budget",1,1.7613
FALSE,"extended",1,13.816
FALSE,"local",1,2.5455
FALSE,"metro",1,3.1476
TRUE,"standard",1,1.7544
FALSE,"budget",2,1.2585
FALSE,"extended",2,13.816
TRUE,"local",2,2.508
FALSE,"metro",2,3.1476
FALSE,"standard",2,1.7544
TRUE,"budget",3,1.6273
FALSE,"extended",3,13.816
FALSE,"local",3,2.4397
FALSE,"metro",3,3.3422
FALSE,"standard",3,1.7544
FALSE,"budget",4,1.5581
FALSE,"extended",4,13.816
TRUE,"local",4,2.3476
FALSE,"metro",4,3.3422
FALSE,"standard",4,1.7544
FALSE,"budget",5,2.1459
FALSE,"extended",5,13.816
TRUE,"local",5,2.6624
FALSE,"metro",5,3.3422
FALSE,"standard",5,1.953
FALSE,"budget",6,2.7788
FALSE,"extended",6,13.816
TRUE,"local",6,2.5734
FALSE,"metro",6,3.3422
FALSE,"standard",6,2.681
FALSE,"budget",7,1.6273
FALSE,"extended",7,13.816
TRUE,"local",7,2.4782
FALSE,"metro",7,3.3422
FALSE,"standard",7,1.7544
TRUE,"budget",8,1.2119
FALSE,"extended",8,13.816
FALSE,"local",8,2.3283
FALSE,"metro",8,3.3422
FALSE,"standard",8,1.7544
FALSE,"budget",9,3.5522
FALSE,"extended",9,13.816
FALSE,"local",9,3.6428
TRUE,"metro",9,3.3422
FALSE,"standard",9,3.5083
FALSE,"budget",10,3.1281
FALSE,"extended",10,13.816
TRUE,"local",10,3.2344
FALSE,"metro",10,3.3422
FALSE,"standard",10,3.0601
FALSE,"budget",11,1.1878
FALSE,"extended",11,13.816
FALSE,"local",11,2.3204
TRUE,"metro",11,3.3422
FALSE,"standard",11,1.7544
FALSE,"budget",12,2.4301
FALSE,"extended",12,13.816
TRUE,"local",12,2.897
FALSE,"metro",12,3.3422
FALSE,"standard",12,2.2885
FALSE,"budget",13,2.4051
FALSE,"extended",13,13.816
FALSE,"local",13,2.8414
TRUE,"metro",13,3.3422
FALSE,"standard",13,2.2597
FALSE,"budget",14,2.7788
FALSE,"extended",14,13.816
TRUE,"local",14,2.3204
FALSE,"metro",14,13.816
FALSE,"standard",14,2.681
FALSE,"budget",15,1.7228
FALSE,"extended",15,13.816
FALSE,"local",15,2.3204
FALSE,"metro",15,13.816
TRUE,"standard",15,1.7544
TRUE,"budget",16,1.4398
FALSE,"extended",16,13.816
FALSE,"local",16,2.3204
FALSE,"metro",16,13.816
FALSE,"standard",16,1.7544
FALSE,"budget",17,2.1005
FALSE,"extended",17,13.816
TRUE,"local",17,2.3204
FALSE,"metro",17,13.816
FALSE,"standard",17,1.8976
FALSE,"budget",18,1.8825
FALSE,"extended",18,13.816
FALSE,"local",18,2.3204
FALSE,"metro",18,13.816
TRUE,"standard",18,1.7544
FALSE,"budget",19,1.6351
FALSE,"extended",19,13.816
FALSE,"local",19,2.3204
FALSE,"metro",19,13.816
TRUE,"standard",19,1.7544
FALSE,"budget",20,2.7625
FALSE,"extended",20,13.816
TRUE,"local",20,2.3204
FALSE,"metro",20,13.816
FALSE,"standard",20,2.6631
FALSE,"budget",21,3.7556
FALSE,"extended",21,13.816
TRUE,"local",21,3.9052
FALSE,"metro",21,3.3422
FALSE,"standard",21,3.7199
TRUE,"budget",22,1.2499
FALSE,"extended",22,13.816
FALSE,"local",22,2.3204
FALSE,"metro",22,3.3422
FALSE,"standard",22,1.7544
TRUE,"budget",23,1.4446
FALSE,"extended",23,13.816
FALSE,"local",23,2.3389
FALSE,"metro",23,3.3422
FALSE,"standard",23,1.7544
FALSE,"budget",24,1.7834
FALSE,"extended",24,13.816
TRUE,"local",24,2.3283
FALSE,"metro",24,3.3422
FALSE,"standard",24,1.7544
FALSE,"budget",25,1.1878
FALSE,"extended",25,13.816
TRUE,"local",25,2.3204
FALSE,"metro",25,3.3422
FALSE,"standard",25,1.7544
FALSE,"budget",26,4.6021
FALSE,"extended",26,13.816
FALSE,"local",26,4.6607
TRUE,"metro",26,3.3422
FALSE,"standard",26,4.5869
FALSE,"budget",27,1.839
FALSE,"extended",27,13.816
TRUE,"local",27,2.5779
FALSE,"metro",27,3.3422
FALSE,"standard",27,1.7544
FALSE,"budget",28,1.5748
FALSE,"extended",28,13.816
TRUE,"local",28,2.438
FALSE,"metro",28,3.3422
FALSE,"standard",28,1.7544
FALSE,"budget",29,1.5994
FALSE,"extended",29,13.816
TRUE,"local",29,2.4544
FALSE,"metro",29,3.3422
FALSE,"standard",29,1.7544
FALSE,"budget",30,1.5851
FALSE,"extended",30,13.816
TRUE,"local",30,2.4604
FALSE,"metro",30,3.3422
FALSE,"standard",30,1.7544
TRUE,"budget",31,1.5581
FALSE,"extended",31,13.816
FALSE,"local",31,2.406
FALSE,"metro",31,3.3422
FALSE,"standard",31,1.7544
FALSE,"budget",32,1.4516
FALSE,"extended",32,13.816
FALSE,"local",32,2.3749
TRUE,"metro",32,3.3422
FALSE,"standard",32,1.7544
FALSE,"budget",33,2.3552
FALSE,"extended",33,13.816
TRUE,"local",33,2.8507
FALSE,"metro",33,3.3422
FALSE,"standard",33,2.2017
FALSE,"budget",34,1.4516
FALSE,"extended",34,13.816
TRUE,"local",34,2.3786
FALSE,"metro",34,3.3422
FALSE,"standard",34,1.7544
FALSE,"budget",35,2.4406
FALSE,"extended",35,13.816
TRUE,"local",35,2.6865
FALSE,"metro",35,3.3422
FALSE,"standard",35,2.3006
FALSE,"budget",36,1.4036
FALSE,"extended",36,13.816
FALSE,"local",36,2.3495
FALSE,"metro",36,3.3422
TRUE,"standard",36,1.7544
TRUE,"budget",37,1.1878
FALSE,"extended",37,13.816
FALSE,"local",37,2.3204
FALSE,"metro",37,3.3422
FALSE,"standard",37,1.7544
FALSE,"budget",38,3.2092
FALSE,"extended",38,13.816
TRUE,"local",38,3.3499
FALSE,"metro",38,3.3422
FALSE,"standard",38,3.1467
FALSE,"budget",39,3.2249
FALSE,"extended",39,13.816
FALSE,"local",39,3.3304
TRUE,"metro",39,3.3422
FALSE,"standard",39,3.1634
FALSE,"budget",40,1.2413
FALSE,"extended",40,13.816
TRUE,"local",40,2.3312
FALSE,"metro",40,3.3422
FALSE,"standard",40,1.7544
FALSE,"budget",41,1.3271
FALSE,"extended",41,13.816
TRUE,"local",41,2.3204
FALSE,"metro",41,3.3422
FALSE,"standard",41,1.7544
FALSE,"budget",42,2.3561
FALSE,"extended",42,13.816
TRUE,"local",42,2.8166
FALSE,"metro",42,3.3422
FALSE,"standard",42,2.2028
FALSE,"budget",43,2.161
FALSE,"extended",43,13.816
FALSE,"local",43,2.6115
FALSE,"metro",43,3.1476
TRUE,"standard",43,1.9713
FALSE,"budget",44,1.2296
FALSE,"extended",44,13.816
FALSE,"local",44,2.508
FALSE,"metro",44,3.1476
TRUE,"standard",44,1.7544
FALSE,"budget",45,2.1679
FALSE,"extended",45,13.816
FALSE,"local",45,2.5688
FALSE,"metro",45,3.1476
TRUE,"standard",45,1.9796
FALSE,"budget",46,2.3878
FALSE,"extended",46,13.816
TRUE,"local",46,2.5112
FALSE,"metro",46,3.6449
FALSE,"standard",46,2.2396
FALSE,"budget",47,4.689
FALSE,"extended",47,13.816
FALSE,"local",47,4.6711
TRUE,"metro",47,3.6449
FALSE,"standard",47,4.6751
FALSE,"budget",48,2.0707
FALSE,"extended",48,13.816
TRUE,"local",48,2.3961
FALSE,"metro",48,3.6449
FALSE,"standard",48,1.884
FALSE,"budget",49,3.0956
FALSE,"extended",49,13.816
FALSE,"local",49,3.329
TRUE,"metro",49,3.1476
FALSE,"standard",49,3.0253
FALSE,"budget",50,1.8213
FALSE,"extended",50,13.816
FALSE,"local",50,2.508
FALSE,"metro",50,3.1476
TRUE,"standard",50,1.7544
FALSE,"budget",51,1.7561
FALSE,"extended",51,13.816
TRUE,"local",51,2.5241
FALSE,"metro",51,3.1476
FALSE,"standard",51,1.7544
FALSE,"budget",52,2.1471
FALSE,"extended",52,13.816
TRUE,"local",52,2.5673
FALSE,"metro",52,3.1476
FALSE,"standard",52,1.9544
TRUE,"budget",53,1.6956
FALSE,"extended",53,13.816
FALSE,"local",53,2.508
FALSE,"metro",53,3.1476
FALSE,"standard",53,1.7544
FALSE,"budget",54,2.6391
FALSE,"extended",54,13.816
FALSE,"local",54,2.5757
FALSE,"metro",54,3.1476
TRUE,"standard",54,2.5257
FALSE,"budget",55,2.9622
FALSE,"extended",55,13.816
TRUE,"local",55,2.568
FALSE,"metro",55,3.1476
FALSE,"standard",55,2.8814
FALSE,"budget",56,1.5933
FALSE,"extended",56,13.816
TRUE,"local",56,2.5273
FALSE,"metro",56,3.1476
FALSE,"standard",56,1.7544
FALSE,"budget",57,2.4924
FALSE,"extended",57,13.816
TRUE,"local",57,2.5726
FALSE,"metro",57,3.1476
FALSE,"standard",57,2.3599
FALSE,"budget",58,3.2496
FALSE,"extended",58,13.816
FALSE,"local",58,3.4651
TRUE,"metro",58,3.3422
FALSE,"standard",58,3.1897
FALSE,"budget",59,1.6919
FALSE,"extended",59,13.816
FALSE,"local",59,2.4891
FALSE,"metro",59,3.3422
TRUE,"standard",59,1.7544
FALSE,"budget",60,2.0096
FALSE,"extended",60,13.816
FALSE,"local",60,2.6398
TRUE,"metro",60,3.3422
FALSE,"standard",60,1.7851
FALSE,"budget",61,1.3083
FALSE,"extended",61,13.816
