"id","src","route","toll.express","time.express","reliability.express","toll.freeway","time.freeway","reliability.freeway","occupance","size","sex","flexibility","distance","commute","age3050","income"
1000169,"cal","express",3.25,-4.15275192260742,-2.3289213180542,0,0,0,1,2,"female","no",34.5800018310547,"yes","yes","high"
1000187,"cal","freeway",3.25,-4.8493914604187,-1.76664662361145,0,0,0,1,1,"male","no",26.4400005340576,"yes","yes","low"
1000201,"cal","express",1.625,-4.8493914604187,-1.76664662361145,0,0,0,3,5,"male","no",24.0900001525879,"yes","yes","med"
1000209,"cal","freeway",2.90000009536743,-3.24331402778625,-0.732458770275116,0,0,0,1,7,"male","no",26.4599990844727,"yes","no","low"
1000282,"cal","express",2.90000009536743,-2.24618029594421,-2.9263186454773,0,0,0,1,3,"male","yes",45.8800010681152,"yes","yes","med"
1000412,"cal","freeway",3.25,-5.61555242538452,-1.35284662246704,0,0,0,1,4,"male","yes",37.0699996948242,"no","yes","low"
1000438,"cal","express",1.45000004768372,-1.58394050598145,-2.54738998413086,0,0,0,3,6,"female","no",26.8500003814697,"yes","yes","med"
1000445,"cal","freeway",3.25,-4.59452772140503,-2.05783271789551,0,0,0,1,3,"female","no",33.1199989318848,"no","no","low"
1000468,"cal","freeway",1.64999997615814,-0.35771507024765,-0.061940860003233,0,0,0,1,4,"male","no",43.6100006103516,"yes","yes","med"
1000479,"cal","freeway",2.90000009536743,-1.87194454669952,-0.170611307024956,0,0,0,1,1,"male","yes",33.689998626709,"yes","no","med"
1000499,"cal","express",3.25,-5.39272451400757,-1.59943115711212,0,0,0,2,3,"female","no",33.439998626709,"yes","yes","low"
1000551,"cal","freeway",1.64999997615814,-0.134897410869598,-0.0317698903381824,0,0,0,1,2,"male","no",35.0400009155273,"yes","no","low"
1000644,"cal","freeway",3.25,-3.88744068145752,-2.16784453392029,0,0,0,1,1,"male","no",34.2099990844727,"yes","no","med"
1000664,"cal","express",1.95000004768372,-1.16960668563843,-0.97016030550003,0,0,0,1,2,"male","yes",24.1000003814697,"yes","no","high"
1000685,"cal","express",0.824999988079071,-0.783161997795105,-0.300763219594955,0,0,0,3,4,"female","no",20.5100002288818,"yes","yes","low"
1000727,"cal","freeway",3,-4.00279855728149,-1.64101600646973,0,0,0,1,2,"male","yes",28.0599994659424,"no","yes","med"
1000739,"cal","express",1.95000004768372,-1.20637345314026,-0.644563496112823,0,0,0,1,1,"female","yes",51.5299987792969,"no","no","low"
1000808,"cal","freeway",1.64999997615814,-0.212410092353821,-0.0322591103613377,0,0,0,1,2,"male","yes",37.5800018310547,"yes","no","med"
1000818,"cal","express",1.64999997615814,-0.20273445546627,-0.0321653485298157,0,0,0,2,4,"male","no",35.6500015258789,"yes","yes","med"
1000831,"cal","freeway",1.95000004768372,-0.920687079429626,-2.87042784690857,0,0,0,1,2,"male","yes",16.5100002288818,"yes","yes","med"
1000853,"cal","freeway",3,-3.82081007957458,-0.842534780502319,0,0,0,2,3,"male","yes",27.5799999237061,"yes","no","med"
1000856,"cal","freeway",1.95000004768372,-0.984944701194763,-2.63505578041077,0,0,0,1,4,"male","yes",30.7199993133545,"yes","yes","high"
1000934,"cal","express",3,-1.07309114933014,-2.20467114448547,0,0,0,1,2,"female","yes",42.4599990844727,"no","no","med"
1000948,"cal","freeway",3,-3.95503926277161,-1.16355812549591,0,0,0,1,5,"male","no",28.5900001525879,"yes","yes","low"
